title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
无头骑士异闻录×2 结 DuFuFuFu!!,全1话,,9.7,1,2078771,152860,1171,303,24271,798353,日本,1130,1,5424,5424,https://www.bilibili.com/bangumi/play/ss5424
Da!Da!Da!,全39话,,9.7,1,48899,48899,3898,5335,33093,2790797,日本,476,1,5407,5407,https://www.bilibili.com/bangumi/play/ss5407
星际牛仔 SP,全6话,,9.7,1,711405,357685,31151,30610,119397,8171098,日本,1286,1,5383,5383,https://www.bilibili.com/bangumi/play/ss5383
八犬传 -东方八犬异闻- 第二季,全13话,,9.7,1,770698,373142,13761,29730,217532,7327417,日本,1994,1,529,529,https://www.bilibili.com/bangumi/play/ss529
魔神凯撒,全7话,,9.7,1,31899,31899,1473,6175,7484,696277,日本,270,1,5289,5289,https://www.bilibili.com/bangumi/play/ss5289
网球王子,全178话,会员专享,9.7,1,822521,507668,53167,107578,1618770,46643889,日本,4821,1,5281,5281,https://www.bilibili.com/bangumi/play/ss5281
八犬传 -东方八犬异闻- 第一季,全13话,,9.7,1,770698,705937,20769,51450,269496,11804875,日本,2778,1,528,528,https://www.bilibili.com/bangumi/play/ss528
战姬绝唱SYMPHOGEAR G,全13话,,9.7,1,260098,117854,5394,8837,40991,2237272,日本,1319,1,527,527,https://www.bilibili.com/bangumi/play/ss527
战姬绝唱SYMPHOGEAR,全13话,,9.7,1,260098,230890,8147,13906,67230,2998461,日本,1654,1,526,526,https://www.bilibili.com/bangumi/play/ss526
剧场版「High☆Speed! -Free! Starting Days-」,全1话,会员专享,9.7,1,2066926,290251,6627,19400,31161,847352,日本,2315,1,5239,5239,https://www.bilibili.com/bangumi/play/ss5239?theme=movie
恋爱情结,全24话,,9.7,1,189466,189466,9353,7316,127615,4359915,日本,1873,1,5221,5221,https://www.bilibili.com/bangumi/play/ss5221
蔷薇少女,全12话,,9.7,1,807049,656782,22842,47076,159973,6607441,日本,3475,1,522,522,https://www.bilibili.com/bangumi/play/ss522
